name,graduationRate,tuitionFees1314,publicprivate,enrollmentTotal,studentFactultyRatio,percentFTFirstTimeUGAnyAid,percentFTFirstTimeUGAnyGrantAid,avgAmountFTFirstTimeUGGrantAid,percentFTFirstTimeUGFederalGrantAid,avgAmountFTFirstTimeUGFederal,percentFTFirstTimeUGPell,avgAmountFTFirstTimeUGPell,percentFTFirstTimeUGOtherFederal,avgAmountFTFirstTimeUGOtherFederal,percentFTFirstTimeUGStateGrant,avgAmountFTFirstTimeUGStateGrant,percentFTFirstTimeUGInstitutionGrant,avgAmountFTFirstTimeUGInstitutionGrant,percentFTFirstTimeUGLoanAid,avgAmountFTFirstTimeUGLoanAid,percentFTFirstTimeUGFederalLoan,avgAmountFTFirstTimeUGFederalLoan,percentFTFirstTimeUGOtherLoan,avgAmountFTFirstTimeUGOtherLoan,avgNetPriceScholGrantAid1213,avgNetPriceUnder30KTitleIV1213,avgNetPrice30Kto48KTitleIV1213,avgNetPrice48Kto75KTitleIV1213,avgNetPrice75Kto110KTitleIV1213,avgNetPriceOver110KTitleIV1213
Morgan State University,34,7218,Public,7546,16,95,78,7281,62,5039,60,4328,15,3505,24,3450,34,5013,80,7772,79,6744,7,11857,13311,11741,13758,16050,18091,17739
Mount St Mary's University,66,34644,Private not-for-profit,2240,13,100,100,18519,21,4368,20,3850,14,817,15,3257,100,17182,67,8586,66,6194,11,15052,27505,24660,24601,25172,28528,16418
Ner Israel Rabbinical College,31,10000,Private not-for-profit,523,18,75,75,9623,22,4913,22,4525,6,1550,6,7350,72,7917,0,,0,,0,,10677,10819,7300,10033,16700,13037
Notre Dame of Maryland University,53,32050,Private not-for-profit,2877,12,99,99,20542,58,4796,58,4343,23,1155,44,3975,99,15995,73,7731,73,7238,4,9261,21265,19371,21869,20857,23029,13886
St Mary's Seminary & University,,,Private not-for-profit,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Salisbury University,67,8128,Public,8643,16,88,75,4010,16,3995,16,3980,0,1500,21,2489,67,2735,57,6473,56,5330,6,11611,16840,11363,12961,16386,18391,19137
St Mary's College of Maryland,79,14864,Public,1858,10,72,61,8433,12,4631,12,4518,1,961,20,3725,58,6644,42,6262,41,5272,3,17286,20578,7806,11209,16717,22443,26099
Sojourner-Douglass College,20,9830,Private not-for-profit,1080,5,93,93,4120,64,4186,52,5041,34,224,2,2716,63,1748,51,9407,51,9407,0,,22050,17948,22049,22090,22151,17759
St John's College,63,46296,Private not-for-profit,490,8,75,72,27422,21,5464,21,4224,14,1938,5,1902,72,25680,69,6585,55,5845,19,6674,29481,25302,26667,24235,27614,20975
Towson University,65,8342,Public,22499,16,75,47,7396,23,4145,22,4152,2,1915,20,3009,34,5582,54,6699,53,5394,5,14896,13945,9455,10892,14499,19588,20552
Maryland University of Integrative Health,,,Private not-for-profit,591,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
United States Naval Academy,88,,Public,4526,9,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Stevenson University,56,27082,Private not-for-profit,4404,14,99,99,13369,33,4660,33,4483,2,2950,19,4208,98,11011,67,8814,65,6468,10,17633,25394,22328,19792,23325,27673,15649
Washington College,68,41120,Private not-for-profit,1512,11,93,91,21117,15,5053,15,4238,11,1050,13,4868,91,19694,73,8059,72,5610,10,18856,31170,27977,18594,25068,28784,13654
Washington Theological Union,,,Private not-for-profit,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
McDaniel College,72,36960,Private not-for-profit,3229,11,99,99,24032,32,4586,32,4201,30,412,21,4639,99,21570,70,7784,70,6452,7,13311,21856,21752,15085,19112,22699,9788
Hult International Business School,,,Private not-for-profit,641,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
New England College of Business and Finance,100,9235,Private for-profit,1145,26,80,60,3842,60,3508,60,3508,0,,0,,20,1000,80,11875,80,11875,0,,10433,10247,11287,11525,,11353
American International College,45,30040,Private not-for-profit,3657,14,100,100,21760,51,4464,51,4065,12,1739,30,1565,100,19008,87,8503,87,6513,17,10421,19211,19592,18843,18545,20385,17588
Amherst College,96,46574,Private not-for-profit,1785,8,65,57,42510,17,5485,17,4748,13,1000,2,650,57,40826,11,6066,8,4797,3,6886,16550,17574,8389,10016,20930,448
Andover Newton Theological School,,,Private not-for-profit,272,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Anna Maria College,47,32134,Private not-for-profit,1540,11,100,100,17930,52,4115,50,4009,30,502,47,1994,100,14857,94,9431,93,6166,24,13112,24915,23259,22876,24518,25829,18133
Assumption College,73,34975,Private not-for-profit,2756,12,99,99,20117,24,4504,24,4110,4,2364,21,2071,99,18590,78,9290,77,6106,19,13082,26674,25563,20907,22110,25677,16729
Babson College,91,43520,Private not-for-profit,3343,14,53,45,33409,18,5122,18,4397,13,994,7,2070,44,31498,38,7968,37,5371,7,15345,25041,27086,16899,23077,27439,17309
Boston Baptist College,32,14866,Private not-for-profit,96,13,100,100,9760,65,4625,65,4394,60,250,10,550,100,6698,70,6418,70,6418,0,,20221,22000,21976,19641,21101,19110
Bay Path College,55,29959,Private not-for-profit,2357,11,100,100,19428,52,5225,52,4476,21,1872,39,2063,100,15933,96,9764,91,8521,14,11520,21087,18456,18519,20433,23726,16457
Becker College,31,31500,Private not-for-profit,1902,17,100,100,14999,36,4839,36,4457,16,885,20,1826,100,12869,90,10491,90,6345,23,16113,29282,24501,27863,28660,30136,21242
Bentley University,87,41110,Private not-for-profit,5658,14,77,69,24308,17,5376,17,4291,17,1106,11,2601,69,22670,55,6880,49,6320,6,11550,30501,28238,21722,20996,26204,17080
Berklee College of Music,50,37586,Private not-for-profit,4519,12,67,51,14870,18,4983,18,4157,11,1427,4,1043,43,15327,44,14184,42,6092,12,30039,41408,38814,39189,41248,42690,36641
Boston Architectural College,7,27312,Private not-for-profit,1037,6,75,55,4213,50,3369,50,2769,10,3000,30,1108,5,6000,75,6907,70,5614,10,12500,32621,25211,33169,32429,34582,24881
Boston Graduate School of Psychoanalysis Inc,,,Private not-for-profit,147,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Boston College,91,45622,Private not-for-profit,14309,15,59,45,33072,15,6354,15,4384,15,2220,5,1054,44,31255,44,4662,44,4633,0,2850,25564,23742,17159,23085,31577,13128
The Boston Conservatory,67,40900,Private not-for-profit,774,6,85,74,16460,18,5153,18,4097,16,1200,2,785,72,15633,53,9889,53,5833,9,25158,43208,39614,34587,44525,39656,38975
Boston University,84,44880,Private not-for-profit,32411,13,62,54,27232,15,5747,15,4261,10,2314,6,1971,53,26111,48,10164,47,6550,10,18495,31798,29828,23262,27248,32141,23862
Brandeis University,90,45856,Private not-for-profit,5825,10,65,57,31964,18,5304,18,4467,17,842,8,2127,56,30423,50,7339,50,5905,5,13876,26952,26278,15115,21158,26358,16277
Bridgewater State University,58,8053,Public,11267,19,79,64,4650,30,4398,29,4402,23,141,60,1721,48,1313,70,7626,69,5728,18,7697,14504,14019,15685,18287,19216,19247
Cambridge College,2,13392,Private not-for-profit,3114,13,33,25,4030,25,3430,25,3430,0,,8,800,4,2000,33,6806,33,6806,0,,15910,21949,24490,,26815,22658
Clark University,81,39550,Private not-for-profit,3551,10,89,87,21905,24,6279,24,4047,24,2280,12,939,87,20024,58,7000,58,6061,5,12604,25332,23926,18983,19249,23001,15630
Conway School of Landscape Design,,,Private not-for-profit,16,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Curry College,45,34715,Private not-for-profit,3074,11,95,92,15588,32,4544,32,4192,32,352,28,1573,92,13575,75,10762,75,5716,28,13428,31792,28988,26888,30153,30887,23625
Eastern Nazarene College,50,27922,Private not-for-profit,1478,18,100,100,18352,50,4550,47,4134,46,672,28,1265,100,15735,80,8021,79,6588,13,9772,18228,20700,17577,15996,19985,20043
Emerson College,81,35730,Private not-for-profit,4561,16,72,57,17720,15,4582,15,4000,11,797,7,1431,55,16928,58,10170,57,5839,15,17706,33371,28567,27708,33240,33041,23363
Emmanuel College,58,34670,Private not-for-profit,2436,14,99,99,18349,30,4961,26,4222,15,2524,37,2787,99,15796,80,9380,79,6043,18,14837,30899,27567,26462,29239,30335,21954
Endicott College,71,28926,Private not-for-profit,5029,14,94,89,12003,17,4191,17,3824,7,952,17,1079,89,11007,75,9351,74,5646,18,15563,32171,29417,24994,28679,31157,20881
Episcopal Divinity School,,,Private not-for-profit,70,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Fitchburg State University,50,8985,Public,6680,15,90,68,5956,38,4334,38,4117,29,278,56,2661,46,2046,78,6244,78,5543,10,5719,11926,8845,9377,12587,16251,17120
Framingham State University,51,8080,Public,6429,16,93,84,3999,31,4079,30,4086,0,2381,55,2080,77,1278,75,7367,74,6291,21,4354,17310,12054,13097,16570,19755,20383
Gordon College,71,33230,Private not-for-profit,2073,13,99,99,14640,25,4811,25,4228,18,800,16,1626,95,13681,79,8380,74,5921,15,14596,28500,26622,22312,22522,25847,21684
Gordon-Conwell Theological Seminary,,,Private not-for-profit,2137,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Hampshire College,66,46625,Private not-for-profit,1492,11,88,87,21449,15,5575,15,4179,7,3083,6,1172,71,25086,59,6594,59,5161,4,21506,36334,29770,26161,26887,31828,18817
Harvard University,97,42292,Private not-for-profit,28297,7,75,58,41505,15,7225,15,4458,10,3976,4,2347,58,39842,9,6267,3,4028,8,5908,16445,18277,2977,5405,13604,1297
Hebrew College,,,Private not-for-profit,188,1,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Hellenic College-Holy Cross Greek Orthodox School of Theology,41,21220,Private not-for-profit,208,10,100,100,15889,50,4271,50,4271,0,,0,,100,13753,64,11060,64,9385,14,7541,22191,6738,25718,,,6776
College of the Holy Cross,91,44272,Private not-for-profit,2912,10,72,55,31317,15,6043,15,4200,7,3920,8,1765,54,29707,57,7522,57,6497,4,17589,25387,22778,18461,21776,25301,12976
Lasell College,53,30000,Private not-for-profit,2081,13,98,98,16710,31,4118,30,4003,4,1253,22,1103,96,15365,93,8333,93,5380,19,14681,27041,25215,22464,24437,26399,19157
Lesley University,46,32375,Private not-for-profit,5195,11,97,96,14820,26,4634,26,4249,5,1861,12,1863,96,13331,83,9906,82,5952,18,18696,33072,29614,30657,32677,32514,24453
Longy School of Music of Bard College,75,33050,Private not-for-profit,265,8,100,100,14554,15,3550,15,3550,0,,0,,100,14008,38,9422,38,7822,8,8000,30374,17628,0,32828,37728,10828
University of Massachusetts-Lowell,54,12097,Public,16932,18,90,76,7935,30,4692,30,4338,13,796,59,2262,62,5308,74,7021,73,5556,9,12052,15215,9978,10733,15001,19351,21133
University of Massachusetts-Amherst,73,13443,Public,28518,18,88,75,7303,22,4448,22,4117,16,443,53,2144,55,6074,61,8146,60,5650,11,13609,19120,12116,12901,16046,21393,23821
University of Massachusetts-Boston,44,11966,Public,16277,15,80,68,9216,45,5140,45,4589,31,811,59,2851,54,4195,61,5308,61,4850,3,9317,10575,7634,9153,12775,16944,18533
MCPHS University,71,28470,Private not-for-profit,6548,25,89,81,10006,32,4960,32,4422,9,1981,24,1422,76,8125,80,13372,80,7974,18,24192,32860,28824,31247,34830,36747,22684
Massachusetts College of Art and Design,74,10400,Public,2264,10,90,68,8084,28,4594,28,4186,4,2886,21,767,66,6096,74,7404,73,5735,10,12751,19069,15601,16395,18773,23890,24620
Massachusetts Institute of Technology,93,43498,Private not-for-profit,11301,8,87,56,36284,18,10277,16,4329,15,7176,2,1997,55,33790,19,8421,17,6203,3,16979,20726,20660,7853,8405,17072,5672
Massachusetts Maritime Academy,67,7127,Public,1476,16,89,53,9160,19,4492,19,3917,15,716,26,2217,53,6578,86,7774,86,5672,13,14387,13791,7115,7923,10921,16187,21037
University of Massachusetts Medical School Worcester,,,Public,1161,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Massachusetts School of Professional Psychology,,,Private not-for-profit,652,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Merrimack College,60,35085,Private not-for-profit,3067,13,96,95,16665,21,3914,21,3864,1,1480,20,985,95,15572,83,9780,83,5210,23,16811,29786,26003,23846,25960,28889,19803
MGH Institute of Health Professions,,,Private not-for-profit,1096,10,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Montserrat College of Art,60,27770,Private not-for-profit,392,12,100,100,15020,54,4698,54,4549,14,554,29,1298,100,12127,90,11465,90,6302,31,14973,22855,22681,20662,24610,25515,16061
Mount Holyoke College,82,41456,Private not-for-profit,2251,10,79,75,26015,13,5312,13,4503,11,962,5,2832,75,25080,49,5208,39,4514,13,6384,29481,23867,14846,20232,27071,10840
Mount Ida College,40,29377,Private not-for-profit,1288,14,98,97,12454,48,4593,48,3982,10,2979,27,1836,96,9888,81,10165,80,6021,27,12725,29194,26994,25989,28014,29703,21909
School of the Museum of Fine Arts-Boston,60,37863,Private not-for-profit,651,9,100,100,11929,31,4218,31,3672,20,832,7,1586,100,10510,81,9531,81,7193,11,17769,40539,35930,34162,38353,41394,27634
The New England Conservatory of Music,86,39955,Private not-for-profit,813,5,95,95,17226,28,4055,18,4100,28,1420,1,700,95,16011,46,10572,46,6900,8,21115,36899,32480,34415,39554,32625,28907
New England College of Optometry,,,Private not-for-profit,502,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
New England School of Acupuncture,,,Private not-for-profit,179,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
New England School of Law,,,Private not-for-profit,964,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Newbury College,31,28950,Private not-for-profit,962,14,98,97,15828,55,4806,55,4564,18,828,36,1291,97,12626,84,8973,83,6285,17,13680,24904,24389,22732,25025,26487,26469
Nichols College,47,32370,Private not-for-profit,1459,17,91,91,17790,33,4799,33,4437,24,498,21,2547,91,15452,85,9163,85,6062,18,14285,27058,23493,23867,26725,27835,21388
Massachusetts College of Liberal Arts,57,8525,Public,1716,13,97,78,6569,48,4502,48,4314,14,632,39,1616,61,3767,96,5488,96,4902,7,8225,13600,11550,12776,14942,17620,18056
The New England Institute of Art,35,18760,Private for-profit,779,12,96,80,5312,57,4702,57,4155,16,1972,23,464,66,2252,85,10116,85,8491,8,17640,28432,33104,27818,30743,32592,30683
Northeastern University,83,41686,Private not-for-profit,20053,13,77,72,25544,16,6529,15,4293,13,2724,7,1702,71,24120,49,6405,49,6405,0,,30376,32819,22895,27371,31612,20912
College of Our Lady of the Elms,68,30132,Private not-for-profit,1678,13,100,100,19786,49,4390,49,4204,11,844,36,2022,100,16906,85,7916,85,6095,12,12983,20838,19601,15907,18766,21052,14169
Pine Manor College,34,24930,Private not-for-profit,346,10,77,74,21074,52,5479,52,5145,17,1003,33,1718,74,16473,58,7406,58,6873,11,2909,14633,17015,13341,16452,18614,16884
Blessed John XXIII National Seminary,,,Private not-for-profit,57,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Regis College,49,34380,Private not-for-profit,2069,13,99,99,22941,42,4693,42,4302,32,504,36,1152,98,20613,85,9367,84,6253,18,14759,24597,22859,34152,38980,40206,27749
Saint John's Seminary,,17750,Private not-for-profit,192,7,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Salem State University,46,8130,Public,9301,15,88,71,6194,40,4396,40,4166,24,384,53,2431,63,2102,76,6850,75,5734,10,8504,14431,11182,12839,15735,17767,19507
Simmons College,71,35380,Private not-for-profit,4655,10,97,97,21197,26,5343,25,4200,25,1232,18,1390,97,19521,72,8506,71,5621,12,16784,29907,33300,21226,23186,29359,26075
Smith College,86,43114,Private not-for-profit,3033,9,73,65,35006,21,5030,21,4254,18,900,9,2069,65,33241,57,4631,52,4127,7,7158,22907,22586,11641,17617,25241,8233
Springfield College,69,32560,Private not-for-profit,3255,13,99,98,17162,24,4990,24,3811,24,1188,15,1373,98,15731,96,8674,96,6244,17,14011,27616,26567,20810,23819,26797,19809
University of Massachusetts-Dartmouth,49,11681,Public,9053,18,90,75,7798,40,4239,40,4108,4,1189,63,2135,62,4498,76,6926,76,5667,9,11377,15718,11896,13829,16156,20262,22262
Stonehill College,85,36160,Private not-for-profit,2481,12,92,89,19516,18,4852,17,3801,10,2041,17,1756,89,18222,70,7611,70,5625,15,9389,31181,31425,19936,25628,28596,17259
Suffolk University,55,31716,Private not-for-profit,8675,11,80,77,17702,35,4762,35,4523,2,4000,27,2254,77,14845,68,8414,68,5974,10,16463,27090,27503,23535,26700,29194,23304
Tufts University,92,46598,Private not-for-profit,10872,9,44,37,31658,10,6236,10,4281,10,2034,6,2104,36,29984,26,6343,25,4169,8,7501,27096,26274,10238,19711,26268,11081
Wellesley College,91,43554,Private not-for-profit,2474,7,68,59,38166,19,4909,19,4128,8,1935,2,2317,58,36891,31,4339,20,3371,14,4893,18998,18400,10623,14050,27791,7625
Wentworth Institute of Technology,63,29200,Private not-for-profit,4179,17,99,99,12040,31,4583,31,4298,8,1146,21,1257,99,10366,81,9236,81,5541,18,17074,31829,28507,27160,29293,33247,23427
Western New England University,60,33020,Private not-for-profit,3800,13,97,96,16820,29,4374,29,4060,3,2901,17,1314,96,15343,81,10276,80,6340,20,16079,29070,27217,24006,26126,28615,21475
Westfield State University,59,8694,Public,6371,17,88,45,5799,32,4070,32,3826,19,406,36,2206,23,2251,76,6565,76,5191,11,9225,13509,11609,12947,16049,18895,19218
Wheaton College,76,45074,Private not-for-profit,1654,11,93,91,24519,17,5177,16,4113,15,1248,17,1727,91,23259,75,7586,75,6005,9,13789,32415,27451,20787,26121,28629,15594
Wheelock College,54,31880,Private not-for-profit,1378,11,100,100,15914,31,4945,31,4124,25,1039,25,1899,100,13896,80,9251,80,5765,16,17502,29617,25146,26135,29589,31697,20878
Williams College,95,46600,Private not-for-profit,2150,7,65,53,39909,19,5449,19,4400,5,4000,4,2065,53,37941,29,4393,27,4164,3,5287,19503,16493,9334,13565,23657,5402
Worcester Polytechnic Institute,81,42778,Private not-for-profit,6296,14,98,98,18663,14,6253,14,3841,11,3094,8,961,98,17752,60,10920,59,7389,12,18301,37192,34338,28654,31764,35082,22473
Worcester State University,49,8157,Public,6447,18,88,69,4776,33,4565,33,4205,31,372,62,1918,44,1448,71,6997,70,5513,11,9959,13335,10397,11812,13812,15607,17380
Adrian College,54,30758,Private not-for-profit,1658,13,98,98,20486,50,4160,50,3853,47,346,57,1515,97,17557,85,7009,85,5849,10,9561,19734,17253,15102,18464,22728,11861
Albion College,74,36051,Private not-for-profit,1307,11,99,99,20778,24,4453,24,4008,11,1007,58,1488,99,18819,67,9431,66,7604,10,12744,24970,21039,19524,21601,24720,14629
Alma College,61,32660,Private not-for-profit,1419,12,100,100,22611,34,4614,33,4198,22,684,65,1827,100,19868,95,8169,95,7060,11,9521,20551,19001,15319,18650,21292,16586
Andrews University,60,25470,Private not-for-profit,3516,9,100,100,12366,35,4665,35,4287,14,948,10,1241,100,10613,60,7436,60,6593,4,11947,21267,18671,18877,19430,22472,14565
Aquinas College,60,26460,Private not-for-profit,2001,13,99,99,17830,31,4821,31,4146,30,690,66,1708,99,15185,73,6745,73,5519,10,9164,16581,15242,11742,12554,13564,10616
Calvin College,73,28250,Private not-for-profit,4034,12,100,99,13951,24,4564,24,3800,22,896,32,1452,99,12366,56,7783,56,6402,6,12626,25100,24334,19764,22203,25430,18277
Calvin Theological Seminary,,,Private not-for-profit,306,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Michigan School of Professional Psychology,,,Private not-for-profit,161,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Central Michigan University,59,11220,Public,26841,21,92,69,8571,35,4015,35,3995,0,3003,13,751,67,6571,82,6663,81,6207,6,7123,12936,10107,11611,14613,17986,19028
Cleary University,44,18720,Private not-for-profit,546,12,73,70,5776,50,2562,50,2520,3,625,27,914,57,4444,57,6091,53,5471,3,16000,11966,21087,12208,9507,5541,21519
Concordia University-Ann Arbor,37,23563,Private not-for-profit,740,10,100,100,13485,69,3062,47,3725,22,1681,61,1409,99,10573,89,5665,89,4763,9,8601,20005,15460,17966,18923,19616,15737
Cranbrook Academy of Art,,,Private not-for-profit,149,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
College for Creative Studies,56,35710,Private not-for-profit,1423,9,98,98,12067,31,3582,31,3575,0,500,58,1492,97,10129,64,9601,64,5720,13,18701,34182,30170,31535,30506,34656,26706
Davenport University,39,14096,Private not-for-profit,9591,17,95,93,8576,47,4725,47,4114,16,1746,52,1398,83,6085,74,9393,74,8552,6,10124,17648,16402,18039,21772,7439,16893
Michigan State University-College of Law,,,Private not-for-profit,998,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
University of Detroit Mercy,57,35920,Private not-for-profit,5112,13,99,99,23738,40,5070,33,4140,40,1645,59,1447,99,20828,68,8668,68,7092,8,13478,24223,20529,23952,22726,25058,20177
Eastern Michigan University,38,9364,Public,23447,18,97,96,6980,52,4567,52,4558,1,734,7,1030,90,4712,70,6794,70,6591,3,6325,12610,10938,11207,12853,14835,15433
Ferris State University,43,10466,Public,14707,16,96,86,8291,46,4775,46,4488,20,685,31,5740,66,4727,77,7403,77,5777,13,10235,13357,9469,12505,15769,17716,18686
Kettering University,61,35600,Private not-for-profit,1985,13,100,100,17428,30,4818,30,4053,12,1880,57,1468,99,15244,71,11446,69,5646,28,14923,31875,29255,28660,30517,32374,24115
Grace Bible College,49,12235,Private not-for-profit,579,11,100,99,8304,71,4563,71,4422,48,208,63,1808,86,4467,84,6540,84,5618,10,7747,12733,14591,12981,12920,15507,13438
Cornerstone University,46,24168,Private not-for-profit,2809,20,98,98,15042,41,4460,40,4133,35,483,51,1815,96,12445,91,8783,91,7519,11,10379,18856,17304,16388,17957,19215,14917
Grand Valley State University,70,10716,Public,24477,17,88,73,6144,34,4336,34,4109,34,229,18,671,71,4001,66,6702,65,6105,5,9256,15664,11159,12506,15811,19122,20582
Great Lakes Christian College,25,14500,Private not-for-profit,194,11,97,97,7275,77,4392,77,4103,77,289,61,1207,61,4732,94,8040,87,7257,16,7441,17208,16568,19340,21675,17632,15906
Hope College,78,28720,Private not-for-profit,3388,13,94,92,13534,21,4679,21,3949,21,858,39,1469,92,11829,59,7676,59,5823,9,12834,25078,23660,17125,19051,25671,14299
Kalamazoo College,77,39450,Private not-for-profit,1458,14,100,98,22839,22,5729,22,4384,20,1508,34,1500,98,21024,54,6835,54,5505,5,13756,25708,26347,13903,18573,25971,15103
